,IDCliente,Produto Alacarte,Churn,NPS,Média desconto fatura 3M
21910,21911,Disney,Não,Promotor,16.3
21911,21912,Globoplay,Não,Neutro,18.48
21912,21913,Prime,Não,Detrator,12.42
21913,21914,Disney,Não,Neutro,11.95
21914,21915,Netflix,Sim,Detrator,17.72
21915,21916,Globoplay,Não,Neutro,11.18
21916,21917,Netflix,Não,Promotor,27.21
21917,21918,Disney,Não,Promotor,21.43
21918,21919,Netflix,Sim,Promotor,14.34
21919,21920,Netflix,Não,Promotor,22.81
21920,21921,Netflix,Sim,Detrator,24.12
21921,21922,Globoplay,Não,Promotor,12.21
21922,21923,Netflix,Sim,Promotor,25.32
21923,21924,Disney,Não,Promotor,16.93
21924,21925,MAX,Não,Detrator,26.01
21925,21926,MAX,Não,Neutro,29.46
21926,21927,Prime,Não,Detrator,16.53
21927,21928,Globoplay,Não,Promotor,16.72
21928,21929,Prime,Não,Promotor,25.67
21929,21930,Disney,Não,Promotor,21.05
21930,21931,Netflix,Não,Promotor,22.41
21931,21932,Disney,Não,Promotor,27.29
21932,21933,MAX,Sim,Promotor,12.2
21933,21934,Prime,Não,Detrator,26.48
21934,21935,MAX,Não,Promotor,23.11
21935,21936,Globoplay,Não,Promotor,23.32
21936,21937,Netflix,Não,Neutro,13.02
21937,21938,Globoplay,Sim,Detrator,11.66
21938,21939,Disney,Sim,Promotor,17.82
21939,21940,Disney,Não,Neutro,21.26
21940,21941,MAX,Não,Detrator,17.56
21941,21942,Prime,Não,Neutro,23.1
21942,21943,Disney,Sim,Neutro,25.82
21943,21944,MAX,Não,Promotor,25.27
21944,21945,MAX,Sim,Neutro,17.85
21945,21946,MAX,Não,Detrator,10.85
21946,21947,MAX,Não,Promotor,26.09
21947,21948,MAX,Não,Promotor,21.79
21948,21949,Prime,Não,Promotor,29.31
21949,21950,Netflix,Não,Neutro,22.94
21950,21951,Disney,Sim,Neutro,17.9
21951,21952,Globoplay,Não,Promotor,26.33
21952,21953,Globoplay,Não,Neutro,29.78
21953,21954,Netflix,Não,Detrator,14.32
21954,21955,Netflix,Não,Detrator,24.48
21955,21956,Disney,Sim,Neutro,23.4
21956,21957,Netflix,Sim,Promotor,19.02
21957,21958,Netflix,Não,Promotor,12.98
21958,21959,Netflix,Não,Promotor,17.71
21959,21960,MAX,Não,Detrator,20.31
21960,21961,Netflix,Não,Promotor,12.28
21961,21962,Netflix,Não,Promotor,15.69
21962,21963,Globoplay,Sim,Promotor,22.63
21963,21964,Globoplay,Não,Neutro,11.38
21964,21965,Globoplay,Não,Neutro,17.71
21965,21966,MAX,Não,Detrator,27.07
21966,21967,MAX,Sim,Detrator,23.97
21967,21968,MAX,Não,Promotor,14.57
21968,21969,MAX,Sim,Detrator,15.19
21969,21970,MAX,Não,Neutro,13.18
21970,21971,Disney,Não,Detrator,10.82
21971,21972,Globoplay,Não,Detrator,17.94
21972,21973,Globoplay,Não,Neutro,14.36
21973,21974,Disney,Não,Detrator,18.3
21974,21975,Prime,Não,Promotor,19.04
21975,21976,Globoplay,Não,Neutro,28.48
21976,21977,Disney,Não,Neutro,26.21
21977,21978,Globoplay,Sim,Neutro,25.51
21978,21979,Prime,Sim,Promotor,14.38
21979,21980,Prime,Sim,Detrator,27.12
21980,21981,Disney,Não,Neutro,21.3
21981,21982,Globoplay,Sim,Promotor,26.91
21982,21983,Netflix,Sim,Neutro,16.54
21983,21984,Netflix,Sim,Detrator,16.76
21984,21985,Prime,Não,Neutro,29.04
21985,21986,Netflix,Sim,Promotor,17.71
21986,21987,Disney,Não,Detrator,12.02
21987,21988,Globoplay,Não,Promotor,10.81
21988,21989,Disney,Sim,Promotor,14.68
21989,21990,MAX,Sim,Promotor,20.61
21990,21991,MAX,Não,Promotor,13.84
21991,21992,MAX,Sim,Promotor,16.28
21992,21993,Disney,Não,Neutro,23.93
21993,21994,MAX,Não,Detrator,16.04
21994,21995,Globoplay,Não,Detrator,24.21
21995,21996,Globoplay,Não,Neutro,11.99
21996,21997,MAX,Não,Neutro,21.02
21997,21998,Globoplay,Não,Promotor,16.15
21998,21999,Globoplay,Não,Neutro,26.1
21999,22000,Netflix,Não,Promotor,20.39
22000,22001,Prime,Não,Neutro,20.73
22001,22002,Prime,Não,Promotor,27.77
22002,22003,Disney,Não,Neutro,22.47
22003,22004,Prime,Não,Detrator,25.71
22004,22005,MAX,Não,Promotor,29.77
22005,22006,Globoplay,Sim,Promotor,27.86
22006,22007,Globoplay,Não,Promotor,21.86
22007,22008,Disney,Não,Promotor,24.08
22008,22009,Globoplay,Não,Detrator,17.9
22009,22010,Prime,Sim,Promotor,18.22
22010,22011,MAX,Não,Promotor,23.46
22011,22012,Netflix,Não,Promotor,12.27
22012,22013,Globoplay,Não,Promotor,25.39
22013,22014,Globoplay,Não,Promotor,23.5
22014,22015,Prime,Não,Neutro,10.38
22015,22016,Netflix,Sim,Neutro,18.9
22016,22017,MAX,Não,Promotor,20.27
22017,22018,Globoplay,Não,Neutro,22.93
22018,22019,Disney,Não,Detrator,25.99
22019,22020,Disney,Sim,Detrator,21.68
22020,22021,Globoplay,Não,Promotor,13.6
22021,22022,MAX,Não,Detrator,21.33
22022,22023,Prime,Sim,Promotor,21.4
22023,22024,Prime,Não,Promotor,28.68
22024,22025,MAX,Sim,Detrator,15.09
22025,22026,MAX,Não,Promotor,21.73
22026,22027,Netflix,Não,Promotor,29.08
22027,22028,Prime,Sim,Detrator,19.89
22028,22029,Globoplay,Sim,Promotor,15.26
22029,22030,Disney,Não,Neutro,11.83
22030,22031,MAX,Não,Promotor,13.21
22031,22032,Prime,Não,Promotor,23.25
22032,22033,Netflix,Não,Detrator,18.9
22033,22034,Globoplay,Não,Promotor,15.37
22034,22035,Netflix,Não,Neutro,22.11
22035,22036,Disney,Não,Detrator,15.66
22036,22037,MAX,Não,Promotor,14.16
22037,22038,Disney,Sim,Neutro,13.39
22038,22039,MAX,Sim,Detrator,21.36
22039,22040,Globoplay,Sim,Promotor,19.64
22040,22041,Prime,Sim,Detrator,19.03
22041,22042,Disney,Não,Detrator,23.26
22042,22043,Netflix,Sim,Neutro,12.63
22043,22044,MAX,Não,Detrator,13.13
22044,22045,Globoplay,Sim,Neutro,11.65
22045,22046,Globoplay,Não,Promotor,17.89
22046,22047,Globoplay,Sim,Promotor,21.82
22047,22048,Disney,Não,Detrator,18.3
22048,22049,MAX,Não,Promotor,20.5
22049,22050,Globoplay,Não,Detrator,17.03
22050,22051,Prime,Não,Promotor,27.86
22051,22052,Netflix,Não,Promotor,24.07
22052,22053,MAX,Não,Detrator,16.65
22053,22054,MAX,Sim,Detrator,25.73
22054,22055,Prime,Não,Neutro,26.73
22055,22056,Globoplay,Não,Neutro,12.92
22056,22057,Globoplay,Não,Detrator,10.73
22057,22058,MAX,Não,Promotor,29.42
22058,22059,Globoplay,Sim,Promotor,27.27
22059,22060,MAX,Não,Detrator,21.22
22060,22061,MAX,Não,Promotor,15.67
22061,22062,Globoplay,Não,Promotor,24.17
22062,22063,Netflix,Sim,Detrator,15.81
22063,22064,Netflix,Não,Detrator,12.18
22064,22065,Globoplay,Não,Detrator,15.2
22065,22066,Netflix,Não,Promotor,16.81
22066,22067,Disney,Não,Detrator,19.2
22067,22068,MAX,Não,Neutro,19.21
22068,22069,MAX,Não,Promotor,24.03
22069,22070,Disney,Não,Promotor,26.37
22070,22071,Netflix,Não,Promotor,17.01
22071,22072,Prime,Não,Promotor,22.2
22072,22073,Globoplay,Não,Promotor,22.9
22073,22074,Prime,Sim,Detrator,25.66
22074,22075,Prime,Não,Detrator,25.03
22075,22076,Prime,Não,Neutro,18.39
22076,22077,Disney,Não,Neutro,21.41
22077,22078,Netflix,Não,Detrator,25.69
22078,22079,Prime,Não,Promotor,18.2
22079,22080,Globoplay,Não,Detrator,12.87
22080,22081,Disney,Sim,Promotor,25.03
22081,22082,Prime,Não,Promotor,24.13
22082,22083,MAX,Não,Promotor,17.82
22083,22084,Globoplay,Sim,Neutro,17.55
22084,22085,Prime,Não,Detrator,24.88
22085,22086,MAX,Não,Promotor,10.13
22086,22087,Netflix,Não,Detrator,28.13
22087,22088,Disney,Não,Detrator,24.45
22088,22089,Prime,Sim,Promotor,18.03
22089,22090,Prime,Sim,Promotor,16.95
22090,22091,MAX,Sim,Promotor,20.92
22091,22092,MAX,Não,Promotor,20.73
22092,22093,MAX,Sim,Promotor,24.16
22093,22094,Globoplay,Não,Promotor,12.97
22094,22095,MAX,Sim,Neutro,15.94
22095,22096,Netflix,Não,Promotor,10.39
22096,22097,Netflix,Não,Promotor,17.5
22097,22098,Prime,Não,Promotor,23.99
22098,22099,MAX,Sim,Promotor,18.4
22099,22100,Disney,Não,Detrator,22.62
22100,22101,Globoplay,Não,Promotor,19.48
22101,22102,Prime,Sim,Neutro,20.09
22102,22103,Disney,Sim,Promotor,22.69
22103,22104,Prime,Sim,Promotor,23.37
22104,22105,Disney,Sim,Promotor,29.17
22105,22106,Globoplay,Não,Detrator,20.89
22106,22107,Netflix,Sim,Neutro,17.01
22107,22108,Disney,Não,Promotor,21.56
22108,22109,Disney,Sim,Detrator,24.26
22109,22110,Netflix,Sim,Neutro,12.26
22110,22111,Globoplay,Não,Promotor,18.46
22111,22112,Globoplay,Não,Neutro,28.9
22112,22113,MAX,Não,Detrator,27.61
22113,22114,MAX,Não,Promotor,26.97
22114,22115,Disney,Não,Neutro,14.76
22115,22116,MAX,Não,Promotor,25.31
22116,22117,Netflix,Não,Promotor,25.99
22117,22118,MAX,Sim,Detrator,29.57
22118,22119,MAX,Não,Neutro,15.77
22119,22120,MAX,Sim,Promotor,28.18
22120,22121,Netflix,Não,Neutro,28.04
22121,22122,Disney,Não,Neutro,16.68
22122,22123,Prime,Sim,Promotor,23.04
22123,22124,Prime,Não,Promotor,16.99
22124,22125,Prime,Não,Neutro,13.92
22125,22126,Prime,Sim,Neutro,20.46
22126,22127,Globoplay,Não,Detrator,10.14
22127,22128,Netflix,Não,Detrator,15.81
22128,22129,MAX,Não,Promotor,17.43
22129,22130,Netflix,Não,Promotor,12.42
22130,22131,Prime,Não,Promotor,12.68
22131,22132,MAX,Sim,Promotor,10.27
22132,22133,Disney,Não,Promotor,28.66
22133,22134,Prime,Não,Promotor,17.58
22134,22135,Disney,Não,Detrator,17.08
22135,22136,Disney,Não,Detrator,10.31
22136,22137,Netflix,Não,Detrator,27.06
22137,22138,Prime,Sim,Promotor,24.82
22138,22139,MAX,Sim,Neutro,22.93
22139,22140,Prime,Sim,Neutro,25.65
22140,22141,Prime,Não,Promotor,21.8
22141,22142,Disney,Sim,Promotor,16.94
22142,22143,Disney,Não,Promotor,20.16
22143,22144,Globoplay,Não,Detrator,29.6
22144,22145,Netflix,Sim,Neutro,21.52
22145,22146,MAX,Não,Neutro,14.45
22146,22147,Globoplay,Sim,Promotor,27.78
22147,22148,Disney,Não,Promotor,19.04
22148,22149,Netflix,Não,Neutro,24.75
22149,22150,Globoplay,Não,Neutro,23.22
22150,22151,Prime,Sim,Detrator,24.13
22151,22152,Prime,Sim,Promotor,19.48
22152,22153,Netflix,Não,Promotor,27.51
22153,22154,Netflix,Sim,Promotor,26.81
22154,22155,Netflix,Sim,Detrator,29.19
22155,22156,Globoplay,Sim,Detrator,16.05
22156,22157,Prime,Sim,Promotor,14.41
22157,22158,Netflix,Sim,Promotor,21.84
22158,22159,Netflix,Não,Promotor,12.19
22159,22160,Globoplay,Não,Promotor,29.44
22160,22161,Netflix,Sim,Neutro,25.52
22161,22162,MAX,Não,Promotor,24.02
22162,22163,Prime,Sim,Detrator,23.69
22163,22164,Netflix,Sim,Neutro,16.03
22164,22165,Globoplay,Não,Promotor,27.19
22165,22166,Prime,Não,Promotor,27.61
22166,22167,Globoplay,Não,Neutro,25.81
22167,22168,Prime,Não,Neutro,20.0
22168,22169,Prime,Não,Promotor,11.66
22169,22170,Prime,Não,Neutro,17.05
22170,22171,Netflix,Sim,Promotor,11.95
22171,22172,Netflix,Não,Promotor,16.85
22172,22173,Netflix,Sim,Promotor,24.38
22173,22174,MAX,Não,Neutro,24.49
22174,22175,Netflix,Não,Promotor,27.12
22175,22176,Disney,Não,Neutro,26.24
22176,22177,Disney,Sim,Neutro,19.29
22177,22178,Globoplay,Não,Promotor,19.22
22178,22179,Disney,Sim,Detrator,21.45
22179,22180,Disney,Não,Neutro,22.82
22180,22181,Disney,Não,Neutro,16.61
22181,22182,Netflix,Não,Promotor,13.57
22182,22183,Globoplay,Não,Promotor,22.24
22183,22184,Prime,Não,Detrator,28.92
22184,22185,Netflix,Não,Promotor,29.22
22185,22186,Netflix,Não,Promotor,26.31
22186,22187,Netflix,Não,Promotor,24.69
22187,22188,Netflix,Não,Detrator,17.56
22188,22189,Globoplay,Não,Detrator,11.48
22189,22190,MAX,Sim,Neutro,12.59
22190,22191,Disney,Sim,Detrator,29.21
22191,22192,Globoplay,Sim,Promotor,24.82
22192,22193,Prime,Não,Neutro,18.36
22193,22194,Globoplay,Não,Promotor,21.07
22194,22195,MAX,Sim,Detrator,10.75
22195,22196,Globoplay,Sim,Detrator,12.25
22196,22197,MAX,Não,Promotor,14.67
22197,22198,Globoplay,Não,Promotor,15.15
22198,22199,Prime,Sim,Promotor,23.45
22199,22200,MAX,Não,Promotor,15.41
22200,22201,Prime,Não,Neutro,12.89
22201,22202,Netflix,Não,Promotor,22.85
22202,22203,MAX,Sim,Promotor,29.87
22203,22204,Disney,Sim,Neutro,24.18
22204,22205,Globoplay,Sim,Promotor,20.69
22205,22206,Disney,Não,Neutro,10.18
22206,22207,MAX,Sim,Promotor,17.53
22207,22208,MAX,Sim,Neutro,16.67
22208,22209,MAX,Não,Promotor,14.34
22209,22210,Prime,Não,Neutro,16.02
22210,22211,MAX,Sim,Promotor,29.82
22211,22212,Netflix,Não,Neutro,25.36
22212,22213,Prime,Não,Promotor,20.41
22213,22214,MAX,Não,Detrator,16.62
22214,22215,Disney,Não,Detrator,29.52
22215,22216,Globoplay,Não,Neutro,14.71
22216,22217,Disney,Não,Promotor,15.76
22217,22218,Globoplay,Não,Neutro,17.99
22218,22219,Disney,Não,Promotor,17.6
22219,22220,Disney,Sim,Neutro,21.81
22220,22221,MAX,Sim,Promotor,25.67
22221,22222,MAX,Não,Promotor,11.49
22222,22223,Prime,Não,Promotor,16.19
22223,22224,Prime,Não,Promotor,21.61
22224,22225,Disney,Não,Promotor,19.72
22225,22226,MAX,Não,Promotor,18.38
22226,22227,MAX,Sim,Promotor,21.07
22227,22228,MAX,Sim,Detrator,12.58
22228,22229,Prime,Não,Promotor,11.14
22229,22230,Prime,Não,Detrator,24.14
22230,22231,Prime,Sim,Promotor,27.87
22231,22232,Prime,Não,Detrator,24.85
22232,22233,Disney,Não,Detrator,20.35
22233,22234,Disney,Não,Detrator,29.39
22234,22235,MAX,Não,Promotor,10.79
22235,22236,Netflix,Sim,Promotor,11.27
22236,22237,MAX,Não,Neutro,12.79
22237,22238,Netflix,Sim,Neutro,27.57
22238,22239,MAX,Sim,Promotor,14.41
22239,22240,Netflix,Não,Neutro,29.16
22240,22241,Globoplay,Não,Detrator,15.61
22241,22242,Globoplay,Não,Detrator,22.18
22242,22243,MAX,Não,Neutro,18.79
22243,22244,Netflix,Sim,Promotor,26.75
22244,22245,Globoplay,Não,Detrator,19.85
22245,22246,MAX,Não,Detrator,14.36
22246,22247,MAX,Não,Neutro,10.97
22247,22248,Prime,Não,Promotor,28.65
22248,22249,Globoplay,Não,Promotor,22.93
22249,22250,Globoplay,Não,Promotor,23.44
22250,22251,Disney,Sim,Detrator,20.82
22251,22252,Prime,Não,Promotor,19.9
22252,22253,Netflix,Não,Neutro,28.24
22253,22254,Prime,Sim,Promotor,17.83
22254,22255,Disney,Não,Neutro,19.23
22255,22256,Prime,Não,Promotor,29.37
22256,22257,MAX,Sim,Detrator,21.69
22257,22258,Netflix,Não,Promotor,10.52
22258,22259,Netflix,Não,Promotor,28.91
22259,22260,Globoplay,Sim,Promotor,22.12
22260,22261,MAX,Sim,Neutro,28.55
22261,22262,Prime,Não,Neutro,19.47
22262,22263,Globoplay,Não,Neutro,21.15
22263,22264,Netflix,Sim,Promotor,18.16
22264,22265,Globoplay,Não,Promotor,25.71
22265,22266,Netflix,Sim,Detrator,12.17
22266,22267,Globoplay,Não,Promotor,25.52
22267,22268,Prime,Não,Neutro,18.83
22268,22269,MAX,Não,Promotor,20.93
22269,22270,Disney,Sim,Neutro,26.14
22270,22271,Globoplay,Sim,Detrator,22.9
22271,22272,Netflix,Sim,Promotor,28.72
22272,22273,Netflix,Não,Neutro,10.42
22273,22274,Globoplay,Sim,Detrator,11.83
22274,22275,Disney,Não,Neutro,16.32
22275,22276,Prime,Sim,Detrator,25.36
22276,22277,Globoplay,Sim,Promotor,26.75
22277,22278,Globoplay,Não,Neutro,22.6
22278,22279,Netflix,Não,Detrator,12.25
22279,22280,Netflix,Não,Detrator,22.44
22280,22281,Netflix,Não,Promotor,21.98
22281,22282,Globoplay,Não,Promotor,13.2
22282,22283,Netflix,Não,Promotor,16.81
22283,22284,MAX,Não,Detrator,25.06
22284,22285,Disney,Não,Promotor,15.47
22285,22286,Netflix,Não,Promotor,10.01
22286,22287,Netflix,Não,Promotor,11.88
22287,22288,Disney,Não,Neutro,23.35
22288,22289,Netflix,Não,Neutro,22.92
22289,22290,Prime,Sim,Promotor,25.72
22290,22291,Disney,Não,Promotor,17.32
22291,22292,Disney,Não,Neutro,11.25
22292,22293,Disney,Sim,Detrator,18.48
22293,22294,MAX,Sim,Neutro,17.37
22294,22295,Netflix,Não,Detrator,15.98
22295,22296,Globoplay,Não,Promotor,16.0
22296,22297,MAX,Não,Promotor,28.67
22297,22298,Globoplay,Sim,Promotor,20.8
22298,22299,MAX,Não,Detrator,29.86
22299,22300,Disney,Não,Promotor,27.81
22300,22301,Disney,Não,Promotor,21.7
22301,22302,MAX,Não,Promotor,24.24
22302,22303,Globoplay,Não,Neutro,21.54
22303,22304,Disney,Não,Promotor,13.6
22304,22305,MAX,Sim,Promotor,27.29
22305,22306,Globoplay,Não,Detrator,24.42
22306,22307,Prime,Não,Promotor,25.12
22307,22308,Globoplay,Sim,Promotor,23.8
22308,22309,Disney,Não,Promotor,11.2
22309,22310,Netflix,Sim,Promotor,13.14
22310,22311,Disney,Não,Neutro,12.54
22311,22312,MAX,Não,Detrator,23.73
22312,22313,MAX,Sim,Promotor,24.64
22313,22314,Globoplay,Não,Detrator,11.12
22314,22315,Prime,Não,Promotor,26.06
22315,22316,Netflix,Sim,Detrator,11.89
22316,22317,MAX,Não,Detrator,22.52
22317,22318,Prime,Sim,Promotor,29.2
22318,22319,Prime,Sim,Detrator,17.07
22319,22320,Disney,Sim,Detrator,15.58
22320,22321,Netflix,Não,Detrator,20.11
22321,22322,Globoplay,Não,Neutro,25.78
22322,22323,MAX,Sim,Detrator,18.86
22323,22324,MAX,Sim,Detrator,24.99
22324,22325,Netflix,Não,Neutro,13.26
22325,22326,MAX,Não,Neutro,23.14
22326,22327,Globoplay,Sim,Promotor,20.56
22327,22328,MAX,Sim,Neutro,14.26
22328,22329,Disney,Não,Promotor,26.84
22329,22330,Prime,Não,Neutro,18.04
22330,22331,Globoplay,Não,Promotor,25.23
22331,22332,Disney,Sim,Promotor,24.28
22332,22333,Netflix,Sim,Detrator,10.93
22333,22334,Prime,Não,Detrator,22.51
22334,22335,Netflix,Não,Promotor,24.61
22335,22336,Globoplay,Sim,Detrator,13.99
22336,22337,Netflix,Sim,Neutro,10.43
22337,22338,MAX,Não,Promotor,21.01
22338,22339,Globoplay,Sim,Promotor,29.75
22339,22340,Prime,Não,Neutro,21.77
22340,22341,Netflix,Não,Neutro,17.98
22341,22342,MAX,Não,Neutro,18.99
22342,22343,Globoplay,Não,Promotor,20.71
22343,22344,Disney,Não,Promotor,13.47
22344,22345,Globoplay,Sim,Detrator,15.26
22345,22346,Globoplay,Não,Promotor,18.77
22346,22347,Disney,Sim,Promotor,19.41
22347,22348,Disney,Sim,Promotor,27.95
22348,22349,MAX,Não,Promotor,25.32
22349,22350,MAX,Não,Detrator,24.54
22350,22351,Disney,Sim,Detrator,21.11
22351,22352,Disney,Sim,Detrator,25.79
22352,22353,Disney,Não,Promotor,24.86
22353,22354,Prime,Não,Promotor,22.86
22354,22355,MAX,Sim,Neutro,24.04
22355,22356,Netflix,Não,Neutro,21.97
22356,22357,Globoplay,Não,Promotor,22.43
22357,22358,MAX,Não,Promotor,19.16
22358,22359,Netflix,Não,Detrator,11.97
22359,22360,Prime,Não,Detrator,12.3
22360,22361,Globoplay,Sim,Promotor,28.36
22361,22362,Disney,Sim,Promotor,25.18
22362,22363,Globoplay,Não,Detrator,20.46
22363,22364,Disney,Sim,Neutro,28.42
22364,22365,Globoplay,Sim,Neutro,12.42
22365,22366,Disney,Sim,Detrator,14.27
22366,22367,Disney,Não,Promotor,15.78
22367,22368,MAX,Não,Detrator,13.14
22368,22369,Disney,Sim,Promotor,13.12
22369,22370,Globoplay,Não,Promotor,13.53
22370,22371,Disney,Não,Detrator,23.13
22371,22372,MAX,Sim,Promotor,13.29
22372,22373,Prime,Não,Promotor,27.96
22373,22374,MAX,Sim,Promotor,20.56
22374,22375,Prime,Não,Detrator,10.17
22375,22376,Netflix,Não,Promotor,25.16
22376,22377,Prime,Sim,Detrator,14.93
22377,22378,Disney,Não,Promotor,29.11
22378,22379,Netflix,Não,Detrator,12.47
22379,22380,Globoplay,Não,Detrator,24.33
22380,22381,MAX,Não,Detrator,16.91
22381,22382,Netflix,Não,Neutro,14.63
22382,22383,MAX,Não,Detrator,15.76
22383,22384,Netflix,Não,Neutro,17.85
22384,22385,Prime,Não,Promotor,18.94
22385,22386,Netflix,Não,Promotor,15.44
22386,22387,Globoplay,Não,Promotor,18.4
22387,22388,MAX,Não,Promotor,12.45
22388,22389,Disney,Não,Promotor,21.57
22389,22390,Disney,Sim,Detrator,23.19
22390,22391,MAX,Não,Neutro,12.34
22391,22392,Disney,Não,Promotor,27.23
22392,22393,Prime,Não,Promotor,24.51
22393,22394,Disney,Não,Detrator,15.17
22394,22395,Prime,Não,Detrator,19.88
22395,22396,Prime,Sim,Promotor,17.61
22396,22397,MAX,Sim,Promotor,28.07
22397,22398,Globoplay,Não,Detrator,18.95
22398,22399,Disney,Não,Neutro,28.07
22399,22400,Prime,Não,Promotor,25.28
22400,22401,MAX,Não,Promotor,28.42
22401,22402,Prime,Não,Neutro,19.91
22402,22403,MAX,Não,Neutro,24.86
22403,22404,Disney,Sim,Promotor,19.59
22404,22405,Globoplay,Não,Neutro,24.77
22405,22406,Globoplay,Não,Promotor,29.52
22406,22407,Globoplay,Não,Promotor,26.38
22407,22408,Disney,Não,Promotor,27.97
22408,22409,Prime,Não,Promotor,22.13
22409,22410,Disney,Sim,Promotor,14.53
22410,22411,Disney,Sim,Promotor,21.41
22411,22412,Disney,Não,Detrator,14.38
22412,22413,Netflix,Não,Detrator,28.52
22413,22414,MAX,Não,Neutro,21.9
22414,22415,MAX,Sim,Neutro,12.14
22415,22416,Globoplay,Não,Promotor,14.31
22416,22417,Globoplay,Não,Promotor,20.65
22417,22418,Netflix,Não,Neutro,15.82
22418,22419,MAX,Não,Promotor,21.77
22419,22420,MAX,Não,Promotor,17.05
22420,22421,MAX,Não,Promotor,19.27
22421,22422,MAX,Sim,Detrator,29.96
22422,22423,Disney,Sim,Detrator,20.49
22423,22424,Globoplay,Sim,Promotor,15.21
22424,22425,MAX,Não,Promotor,28.8
22425,22426,Prime,Sim,Promotor,19.6
22426,22427,Disney,Não,Promotor,22.47
22427,22428,Globoplay,Não,Promotor,29.36
22428,22429,Netflix,Não,Detrator,15.83
22429,22430,MAX,Não,Promotor,10.56
22430,22431,MAX,Não,Promotor,26.63
22431,22432,MAX,Sim,Promotor,19.83
22432,22433,Disney,Não,Neutro,10.38
22433,22434,Disney,Sim,Promotor,22.54
22434,22435,Prime,Não,Neutro,10.47
22435,22436,MAX,Sim,Neutro,22.14
22436,22437,Disney,Não,Promotor,13.56
22437,22438,MAX,Sim,Promotor,26.33
22438,22439,MAX,Não,Detrator,27.89
22439,22440,Globoplay,Sim,Promotor,24.46
22440,22441,Netflix,Não,Neutro,13.6
22441,22442,Prime,Não,Promotor,26.91
22442,22443,Globoplay,Não,Neutro,24.69
22443,22444,Disney,Sim,Detrator,13.66
22444,22445,Globoplay,Sim,Promotor,13.11
22445,22446,MAX,Não,Neutro,24.24
22446,22447,Globoplay,Não,Promotor,20.43
22447,22448,Globoplay,Não,Detrator,24.33
22448,22449,Globoplay,Sim,Promotor,24.85
22449,22450,Disney,Não,Neutro,19.05
22450,22451,Prime,Não,Detrator,25.16
22451,22452,Globoplay,Sim,Promotor,11.26
22452,22453,Globoplay,Não,Detrator,26.38
22453,22454,Prime,Não,Detrator,17.95
22454,22455,Globoplay,Não,Neutro,12.5
22455,22456,Netflix,Não,Neutro,23.77
22456,22457,Netflix,Não,Promotor,25.82
22457,22458,Prime,Não,Neutro,11.13
22458,22459,MAX,Não,Promotor,19.64
22459,22460,Globoplay,Sim,Neutro,11.95
22460,22461,Globoplay,Sim,Detrator,13.8
22461,22462,Disney,Sim,Promotor,16.09
22462,22463,MAX,Não,Promotor,17.54
22463,22464,MAX,Não,Promotor,13.7
22464,22465,Globoplay,Não,Neutro,28.6
22465,22466,Prime,Não,Detrator,28.57
22466,22467,MAX,Não,Neutro,20.83
22467,22468,Netflix,Sim,Promotor,11.74
22468,22469,MAX,Não,Detrator,14.42
22469,22470,Prime,Não,Promotor,11.35
22470,22471,Prime,Não,Promotor,14.1
22471,22472,Netflix,Não,Promotor,21.96
22472,22473,Netflix,Não,Detrator,20.05
22473,22474,MAX,Sim,Promotor,23.71
22474,22475,Netflix,Sim,Detrator,26.12
22475,22476,Disney,Não,Detrator,15.89
22476,22477,MAX,Sim,Neutro,10.98
22477,22478,MAX,Sim,Promotor,26.81
22478,22479,MAX,Sim,Neutro,10.77
22479,22480,Disney,Sim,Promotor,16.89
22480,22481,Prime,Não,Neutro,26.92
22481,22482,Prime,Não,Detrator,14.9
22482,22483,Globoplay,Sim,Detrator,25.42
22483,22484,Globoplay,Não,Promotor,27.16
22484,22485,MAX,Não,Detrator,24.46
22485,22486,MAX,Não,Promotor,17.09
22486,22487,MAX,Não,Neutro,15.12
22487,22488,MAX,Não,Detrator,13.04
22488,22489,Prime,Não,Detrator,29.69
22489,22490,MAX,Sim,Promotor,27.48
22490,22491,Disney,Não,Neutro,20.22
22491,22492,Disney,Não,Detrator,14.76
22492,22493,Prime,Não,Detrator,23.56
22493,22494,Netflix,Sim,Promotor,13.13
22494,22495,Prime,Sim,Neutro,26.11
22495,22496,Prime,Não,Promotor,26.3
22496,22497,Globoplay,Não,Detrator,13.46
22497,22498,Netflix,Sim,Promotor,23.42
22498,22499,Prime,Sim,Neutro,16.06
22499,22500,MAX,Não,Detrator,19.87
22500,22501,Netflix,Não,Promotor,14.28
22501,22502,Disney,Sim,Promotor,10.47
22502,22503,Netflix,Não,Promotor,26.69
22503,22504,Netflix,Não,Promotor,24.42
22504,22505,Disney,Sim,Promotor,21.07
22505,22506,Globoplay,Sim,Promotor,29.51
22506,22507,Prime,Sim,Neutro,12.14
22507,22508,Prime,Não,Neutro,27.09
22508,22509,MAX,Não,Detrator,11.04
22509,22510,Prime,Não,Neutro,22.4
22510,22511,Globoplay,Não,Detrator,25.19
22511,22512,Disney,Não,Neutro,11.05
22512,22513,Globoplay,Não,Neutro,23.79
22513,22514,MAX,Não,Neutro,28.42
22514,22515,MAX,Não,Promotor,10.34
22515,22516,Disney,Não,Neutro,25.65
22516,22517,Netflix,Não,Neutro,20.3
22517,22518,Netflix,Sim,Promotor,15.99
22518,22519,Netflix,Sim,Promotor,15.69
